image_path,mask_label
tiles_768/66/3840_16128.png,tumor
tiles_768/66/3840_16896.png,tumor
tiles_768/66/3840_17664.png,tumor
tiles_768/66/3840_18432.png,tumor
tiles_768/66/3840_19200.png,tumor
tiles_768/66/3840_19968.png,tumor
tiles_768/66/3840_20736.png,tumor
tiles_768/66/3840_21504.png,tumor
tiles_768/66/3840_22272.png,tumor
tiles_768/66/3840_23040.png,tumor
tiles_768/66/3840_25344.png,tumor
tiles_768/66/4608_14592.png,tumor
tiles_768/66/4608_15360.png,tumor
tiles_768/66/4608_16128.png,tumor
tiles_768/66/4608_16896.png,tumor
tiles_768/66/4608_17664.png,tumor
tiles_768/66/4608_18432.png,tumor
tiles_768/66/4608_19200.png,tumor
tiles_768/66/4608_19968.png,tumor
tiles_768/66/4608_20736.png,tumor
tiles_768/66/4608_21504.png,tumor
tiles_768/66/4608_22272.png,tumor
tiles_768/66/4608_23040.png,tumor
tiles_768/66/4608_23808.png,tumor
tiles_768/66/4608_24576.png,tumor
tiles_768/66/4608_25344.png,tumor
tiles_768/66/4608_26112.png,tumor
tiles_768/66/4608_26880.png,tumor
tiles_768/66/4608_27648.png,tumor
tiles_768/66/5376_13824.png,tumor
tiles_768/66/5376_14592.png,tumor
tiles_768/66/5376_15360.png,tumor
tiles_768/66/5376_16128.png,tumor
tiles_768/66/5376_16896.png,tumor
tiles_768/66/5376_17664.png,tumor
tiles_768/66/5376_18432.png,tumor
tiles_768/66/5376_19200.png,tumor
tiles_768/66/5376_21504.png,tumor
tiles_768/66/5376_22272.png,tumor
tiles_768/66/5376_23040.png,tumor
tiles_768/66/5376_23808.png,tumor
tiles_768/66/5376_24576.png,tumor
tiles_768/66/5376_25344.png,tumor
tiles_768/66/5376_26112.png,tumor
tiles_768/66/5376_26880.png,tumor
tiles_768/66/5376_27648.png,tumor
tiles_768/66/5376_28416.png,tumor
tiles_768/66/5376_34560.png,tumor
tiles_768/66/6144_13056.png,tumor
tiles_768/66/6144_13824.png,tumor
tiles_768/66/6144_14592.png,tumor
